Handle,Title,Description,Rule Tags,AI Tags,Final Tags,Category,Audit Error Type,Audit Error Details,Correction,AI Prompt,Model Output
0mg-dr-vapes-pink-frozen-100ml-shortfill-78vg-22pg,0mg Dr Vapes Pink Frozen 100ml Shortfill (78VG/22PG),"Discover a revitalizing and fruity vaping experience with 0mg Dr Vapes Pink Frozen 50ml Shortfill, a tantalizing blend that perfectly blends the sweetness of pink fruits with a cool icy touch. Boasting a luxurious 78VG/22PG ratio, this shortfill delivers an exceptional balance of vapour production and rich flavours. The Pink Frozen line by Dr Vapes offers a one-of-a-kind and invigorating flavour experience, ideal for vapers who crave a refreshing and fruity vape sensation. Whether you're a cloud chaser or flavour enthusiast, this expertly crafted e-liquid guarantees satisfying clouds with every puff. Indulge in the delightful fusion of sweetness and chill with 0mg Dr Vapes Pink Frozen 50ml Shortfill and elevate your vaping journey.<br data-mce-fragment=""1""> <br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications: </strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 2 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">78VG/22PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:<br data-mce-fragment=""1""></strong>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Crazy</li>
<li data-mce-fragment=""1"">Smoothie</li>
<li data-mce-fragment=""1"">Royale</li>
<li data-mce-fragment=""1"">Remix<br><br>
</li>
</ul>","50ml,78/22,shortfill,0mg,fruity,100ml,direct-to-lung,ice",shortfill,"50ml,78/22,shortfill,0mg,fruity,100ml,direct-to-lung,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-dr-vapes-pink-frozen-50ml-shortfill-78vg-22pg,0mg Dr Vapes Pink Frozen 50ml Shortfill (78VG/22PG),"Discover a revitalizing and fruity vaping experience with 0mg Dr Vapes Pink Frozen 50ml Shortfill, a tantalizing blend that perfectly blends the sweetness of pink fruits with a cool icy touch. Boasting a luxurious 78VG/22PG ratio, this shortfill delivers an exceptional balance of vapour production and rich flavours. The Pink Frozen line by Dr Vapes offers a one-of-a-kind and invigorating flavour experience, ideal for vapers who crave a refreshing and fruity vape sensation. Whether you're a cloud chaser or flavour enthusiast, this expertly crafted e-liquid guarantees satisfying clouds with every puff. Indulge in the delightful fusion of sweetness and chill with 0mg Dr Vapes Pink Frozen 50ml Shortfill and elevate your vaping journey.<br data-mce-fragment=""1""><br><br><br><strong data-mce-fragment=""1"">Specifications: </strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">50ml E-liquid Content in a 60ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 1 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">78VG/22PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:<br></strong>
<ul>
<li>Crazy</li>
<li>Smoothie</li>
<li>Royale</li>
<li>Remix<br><br>
</li>
</ul>","50ml,78/22,shortfill,0mg,fruity,direct-to-lung,ice",shortfill,"50ml,78/22,shortfill,0mg,fruity,direct-to-lung,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-dr-vapes-the-pink-series-100ml-shortfill-78vg-22pg,0mg Dr Vapes The Pink Series 100ml Shortfill (78VG/22PG),"Indulge in a luxurious vaping experience with 0mg Dr Vapes The Pink Series 100ml Shortfill. This premium e-liquid blend is designed to tantalize your senses and captivate your taste buds. With a high-quality 78VG/22PG ratio, this shortfill provides the perfect balance of vapour production and flavour richness. The Pink Series boasts a mouthwatering variety of sweet and refreshing flavours, delivering a delightful vaping experience without the use of nicotine. Whether you're a fan of big clouds or rich flavours, this meticulously crafted e-liquid promises a smooth and satisfying vape with every puff. Elevate your vaping journey with 0mg Dr Vapes The Pink Series 100ml Shortfill and indulge in an unparalleled level of taste and quality.<br data-mce-fragment=""1""><br><br><strong>Specifications: </strong><br>
<ul>
<li>Made in the UK</li>
<li>0mg Nicotine Strength</li>
<li>100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li>Space for 2 x 18mg Nicotine shots for 3mg</li>
<li>78VG/22PG</li>
<li>Childproof and Tamper evident cap</li>
<li>Suitable for Sub Ohm Vaping</li>
<li>Recyclable Bottle</li>
<li>TPD compliant</li>
</ul>
<br><strong>Flavours: </strong><br>
<ul>
<li><span data-mce-fragment=""1"">Pink Sour - Sour Blackcurrant </span></li>
<li><span data-mce-fragment=""1"">Pink Candy - Blackcurrant Cotton Candy </span></li>
<li><span data-mce-fragment=""1"">Pink Colada - Blackcurrant Pineapple Coconut </span></li>
<li><span data-mce-fragment=""1"">Pink Remix - Sour Candy Blackcurrant </span></li>
<li><span data-mce-fragment=""1"">Pink Smoothie - Blackcurrant Smoothie</span></li>
<li><span data-mce-fragment=""1"">Pink Ice - Blackcurrant Cold Drink </span></li>
</ul>","candy/sweets,beverages,78/22,shortfill,0mg,100ml,direct-to-lung,nic_salt,ice",shortfill,"candy/sweets,beverages,78/22,shortfill,0mg,100ml,direct-to-lung,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-effin-juice-50ml-shortfill-50vg-50pg,0mg EFFIN Juice 50ml Shortfill (50VG/50PG),"<p>Embark on a nicotine-free journey with 0mg EFFIN Juice 50ml Shortfill. This exceptional e-liquid prioritizes quality without the added nicotine, perfect for vapers seeking a satisfying and customizable experience. Its 50% VG and 50% PG formulation ensures a smooth throat hit and ample vapor production. Packaged in a 60ml bottle filled with 50ml of superior vape juice, this shortfill is ideal for use with a variety of devices. And the best part? You have the option to add a nicotine shot for a personalized vape experience. Crafted with care and in compliance with UK regulations and standards, EFFIN Juice is a reliable option for both novice and experienced vapers. Don't miss out on this versatile and enjoyable vaping experience!<br data-mce-fragment=""1""><br></p>
<ul>
<li>Made in the UK<br data-mce-fragment=""1"">
</li>
<li>0mg Nicotine Strength<br data-mce-fragment=""1"">
</li>
<li>50ml E-Liquid Content in a 60ml Shortfill Bottle<br data-mce-fragment=""1"">
</li>
<li>Space for 1 x 10ml (18mg) Nicotine shot<br data-mce-fragment=""1"">
</li>
<li>50VG/50PG<br data-mce-fragment=""1"">
</li>
<li>Up to 15,000 Puffs<br data-mce-fragment=""1"">
</li>
<li>Ideal for Mouth to Lung (MTL) Vaping<br data-mce-fragment=""1"">
</li>
<li>Childproof Cap and Tamper Evident Seal<br data-mce-fragment=""1"">
</li>
<li>Recyclable Bottle<br data-mce-fragment=""1"">
</li>
<li>TPD Complaint<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong>Flavours:</strong><br data-mce-fragment=""1"">
</li>
<li>Apple Peach</li>
</ul>
<ul>
<li>Mango</li>
</ul>
<ul>
<li>Banana Ice</li>
</ul>
<ul>
<li>Blue Razz</li>
</ul>
<ul>
<li>Cotton Candy Ice</li>
</ul>
<ul>
<li>Watermelon</li>
</ul>
<ul>
<li>Strawberry Ice Cream</li>
</ul>
<ul>
<li>Strawberry Ice</li>
</ul>
<ul>
<li>Strawberry Banana</li>
</ul>
<ul>
<li>Pink Lemonade</li>
</ul>
<ul>
<li>Peach Ice</li>
</ul>
<ul>
<li>Kiwi Passion Guava</li>
</ul>
<ul>
<li>Grape</li>
</ul>
<ul>
<li>EFF Berg</li>
</ul>
<ul>
<li>Cola</li>
</ul>
<ul>
<li>Spearmint</li>
</ul>
<ul>
<li>Cherry Cola</li>
</ul>
<ul>
<li>Energy Ice</li>
</ul>
<ul>
<li>Blue Raspberry</li>
</ul>
<ul>
<li>Coconut Melon</li>
</ul>
<ul>
<li>Lemon Tart</li>
</ul>
<ul>
<li>Lychee Ice</li>
</ul>
<ul>
<li>Strawberry Raspberry</li>
</ul>","candy/sweets,50ml,50/50,mouth-to-lung,shortfill,0mg,10ml,nic_salt,ice",shortfill,"candy/sweets,50ml,50/50,mouth-to-lung,shortfill,0mg,10ml,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-ezee-e-cigarette-cartridges-menthol-1050-puffs,0mg Ezee E-cigarette Cartridges Menthol 1050 Puffs,"<p>Embark on a refreshing escape with 0mg Ezee Filter Menthol, boasting a generous 1050 puffs spread across 3 cartridges, each packed with 350 puffs of pure menthol flavor. As a disposable vape device, it's the perfect nicotine-free option for those seeking a cool and satisfying experience. Designed for on-the-go use, its sleek and compact design eliminates the need for refills or recharging, making vaping hassle-free. Enjoy the crisp, icy taste of menthol with each puff, sans any nicotine content. Experience guilt-free and invigorating vaping with 0mg Ezee Filter Menthol, where each cartridge offers 350 satisfying puffs, totaling to 1050 puffs of pure pleasure.<br><br><strong>Specifications: </strong><br></p>
<ul>
<li>Compatible with Ezee E-cigarette</li>
<li>Menthol Flavour</li>
<li>1ml E Liquid </li>
<li>0mg Nicotine</li>
<li>Up to 350 puffs depending on your puffing style</li>
<li>3 Cartridge's Per Pack </li>
</ul>
<p><br><strong>What's in the box: </strong><br></p>
<ul>
<li>3x Ezee Filters Menthol Flavour</li>
</ul>
<p><br><strong>Flavour: <br></strong></p>
<ul>
<li>Menthol </li>
</ul>","ice,0mg",,"ice,0mg",e-liquid,,,,,
0mg-ezee-e-cigarette-cartridges-tobacco-1050-puffs,0mg Ezee E-cigarette Cartridges Tobacco 1050 Puffs,"<p>Indulge in the familiar and robust taste of tobacco, without any nicotine, with the 0mg Ezee Filter Tobacco cartridges. Each pack contains 1050 puffs, split between 3 convenient cartridges, each offering pure and authentic tobacco flavor with 350 puffs. Perfect for those searching for a nicotine-free option that still delivers the essence of traditional tobacco. Designed for ease and portability, the Ezee Filter Tobacco is ideal for on-the-go vaping, providing a seamless and hassle-free experience. Immerse yourself in the rich and genuine tobacco notes with every puff, knowing you can enjoy the taste without any nicotine. Elevate your vaping journey with the 0mg Ezee Filter Tobacco and its 350 satisfying puffs per cartridge, for a total of 1050 puffs of pure tobacco enjoyment.<br><br><strong>Specifications: </strong><br></p>
<ul>
<li>Compatible with Ezee E-cigarette</li>
<li>Tobacco Flavour</li>
<li>1ml E Liquid </li>
<li>0mg Nicotine</li>
<li>Up to 350 puffs depending on your puffing style</li>
<li>3 Cartridge's Per Pack </li>
</ul>
<p><br><strong>What's in the box: </strong><br>3x Ezee Filters Menthol Flavour<br><br><strong>Flavour: <br></strong></p>
<ul>
<li>Tobacco </li>
</ul>","ice,0mg,traditional_nicotine,tobacco",,"ice,0mg,traditional_nicotine,tobacco",e-liquid,,,,,
0mg-fantasi-100ml-ice-remix-series-50vg-50pg,0mg Fantasi 100ml Ice Remix Series (50VG/50PG),"<span data-mce-fragment=""1"">Fantasi 100ml Remix 0mg (50VG/50PG) guarantees an incomparably delightful vaping experience with its impressive array of flavours! This nicotine-free e-liquid is expertly blended with a harmonious 50% VG, and 50% PG ratio to ensure an ideal balance of flavour and vapour production. For those after classic fruity blends or something a bit more unusual, Fantasi's Remix series has something for everyone. So why not try out this high-quality, nicotine-free option for an unparalleled vaping experience.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 2 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">50VG/50PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle and Box</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<strong data-mce-fragment=""1"">Flavours</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Pineapple x Grapefruit</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Blueberry x Honeydrew</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Blue Raspberry x Cherry</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Fruit x Twist</span></li>
</ul>","50/50,shortfill,0mg,fruity,100ml,direct-to-lung,ice",,"50/50,shortfill,0mg,fruity,100ml,direct-to-lung,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-fantasi-100ml-shortfill-e-liquid-50vg-50pg,0mg Fantasi 100ml Shortfill E-Liquid (50VG/50PG),"<p data-mce-fragment=""1"">Enjoy a sensational vape experience with Fantasi 100ml Shortfill E-Liquid 0mg (50VG/50PG)! This tantalizing e-liquid is nicotine-free and offers a soothing, satisfying vape. The perfect 50/50 VG/PG ratio ensures maximum flavour and an exquisite mix of vapour production, whether you prefer fruity or soda flavours. With dozens of delicious options, this premium-quality e-liquid is an exceptionally rewarding choice for vapers seeking a nicotine-free vaping experience!<br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 2 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">50VG/50PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle and Box</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours</strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Watermelon</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Orange</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Mango</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Grape</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Cherry</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Blue Raspberry<br data-mce-fragment=""1""></span></li>
</ul>","50/50,shortfill,0mg,fruity,100ml,direct-to-lung","shortfill,100ml","50/50,shortfill,0mg,fruity,100ml,direct-to-lung",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-fantasi-100ml-shortfill-e-liquid-70vg-30pg,0mg Fantasi 100ml Shortfill E-Liquid (70VG/30PG),"<span data-mce-fragment=""1"">Fantasi 100ml Shortfill E-Liquid 0mg (70VG/30PG) is an incredible UK-made e-liquid which offers a remarkable vaping experience. This premium e-liquid blends 70% vegetable glycerin (VG) and 30% propylene glycol (PG) to perfectly deliver thick, full-flavoured vapour. With no nicotine, this e-liquid delivers an untouched flavour, ideal for vapers who don't want nicotine. Every 120ml shortfill includes 100ml of e-liquid, leaving extra room for 2 x 18mg nicotine shots, giving vapers the power to decide how strong they want their liquid. With a range of delicious flavours like lemonade, grape, orange, mango &amp; apple, this nicotine-free e-liquid is ideal for any vaper looking for a fantastic taste experience!</span><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 2 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">70VG/30PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle and Box</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Lemonade</li>
<li data-mce-fragment=""1"">Grape </li>
<li data-mce-fragment=""1"">Orange</li>
<li data-mce-fragment=""1"">Mango</li>
<li data-mce-fragment=""1"">Apple</li>
<li data-mce-fragment=""1"">Watermelon</li>
<li data-mce-fragment=""1"">Cherry</li>
<li data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""BkyGu"" data-mce-fragment=""1"">
<div class=""aF9uc"" data-mce-fragment=""1"">
<div class=""fCOPc"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div class=""rotbu"" data-mce-fragment=""1"">
<div class=""QfH8z"" data-mce-fragment=""1""><span class=""Polaris-Badge_2qgie"" data-mce-fragment=""1""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"" data-mce-fragment=""1"">Blue Raspberry</span></span></div>
</div>
</div>
</div>
</div>
</div>
</div>
</li>
</ul>","70/30,shortfill,0mg,100ml,direct-to-lung",,"70/30,shortfill,0mg,100ml,direct-to-lung",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-fantasi-bar-juice-100ml-shortfill-50vg-50pg,0mg Fantasi Bar Juice 100ml Shortfill (50VG/50PG),"<p><span>Fantasi Bar Juice 100ml Shortfill offers a delightful vaping experience with its expertly crafted e-liquid designed for those who appreciate rich and vibrant flavours. Each 100ml bottle is nicotine-free and comes in a 120ml shortfill container, allowing users to customise their nicotine strength by adding their preferred nicotine shots. This e-liquid features a balanced 50/50 blend of vegetable glycerin (VG) and propylene glycol (PG), ensuring a smooth throat hit while producing impressive vapor clouds.</span></p>
<p><strong>Specifications: </strong></p>
<ul>
<li>Bottle Size: 100ml of e-liquid in a 120ml shortfill bottle</li>
<li id=""LEOSSDO"">Nicotine Strength: 0mg</li>
<li><span>Space for two 10ml nic shots</span></li>
<li><span>VG/PG Ratio: 50/50</span></li>
<li><span>Vaping Style: MTL</span></li>
<li>
<span></span>Manufactured in Manchester, UK</li>
<li>
<span></span>Childproof Cap</li>
<li>
<span></span>Tamper-proof Seal</li>
<li>
<span></span>Easy Fill Spout</li>
</ul>
<p><strong>Flavours:</strong></p>
<ul>
<li><span>Blueberry Bubblegum</span></li>
<li><span>Red Grape Ice</span></li>
<li><span>Spearmint Ice</span></li>
<li><span>Strawberry Raspberry Cherry Ice</span></li>
<li><span>Strawberry Ice Cream</span></li>
<li><span>Gummy Bears Ice</span></li>
<li><span>Tropical Punch Ice</span></li>
<li><span>Mad Blue</span></li>
<li><span>Lemon Passion Fruit</span></li>
<li><span>NRG Ice</span></li>
<li><span>Mango X Orange</span></li>
<li>
<span>Watermelon Cherry Ice</span><span></span>
</li>
</ul>","candy/sweets,50/50,mouth-to-lung,shortfill,0mg,fruity,10ml,100ml,nic_salt,ice","shortfill,e-liquid","candy/sweets,e-liquid,50/50,mouth-to-lung,shortfill,0mg,fruity,10ml,100ml,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-fantasi-ferocious-bar-juice-100ml-shortfill-50vg-50pg,0mg Fantasi Ferocious Bar Juice 100ml Shortfill (50VG/50PG),"<p><span>Fantasi Ferocious Bar Juice 100ml Shortfill offers an exciting vaping experience inspired by the popular disposable vape flavour's. This e-liquid is crafted with a balanced 50% VG and 50% PG ratio, making it ideal for mouth-to-lung vaping while also versatile enough for various setups. Each bottle contains 100ml of delicious liquid, allowing vapers to enjoy their favourite flavour's without the need for constant repurchasing.</span></p>
<p><strong>Specifications:</strong></p>
<ul>
<li>100ml Of E-liquid in a 120ml Bottle Room For 2 Nicotine Shots</li>
<li>Made with a 50/50 VG/PG Ratio Mix</li>
<li>Nicotine Strength: 0mg</li>
<li>Made In The UK</li>
<li>TPD Compliant</li>
<li>Work best for DTL Vaping at 3mg or 6mg Strengths</li>
</ul>
<p><strong>Flavours:</strong></p>
<ul>
<li>Pomegranate Blueberry</li>
<li>Pineapple</li>
<li>Peach Gummy</li>
<li>Mixed Berries </li>
<li>Grape</li>
<li>Energy Ice</li>
<li>Blue Razz Lemonade</li>
<li>Blue Raspberry Billions</li>
<li>Blackcurrant Menthol</li>
<li>Berry Peach</li>
<li>Tiger Blood</li>
<li>Strawberry Watermelon</li>
<li>Sour Cherry Sweets</li>
<li>Red Rainbows</li>
</ul>","candy/sweets,50/50,mouth-to-lung,shortfill,0mg,100ml,direct-to-lung,ice",shortfill,"candy/sweets,50/50,mouth-to-lung,shortfill,0mg,100ml,direct-to-lung,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-fantasi-ice-100ml-shortfill-50vg-50pg,0mg Fantasi Ice 100ml Shortfill (50VG/50PG),"<span data-mce-fragment=""1"">The 0mg Fantasi Ice 100ml Shortfill E-Liquid is a refreshing and flavorful e-liquid designed for vape enthusiasts. With a balanced 50VG/50PG ratio, it offers a smooth vaping experience. This e-liquid is perfect for those who enjoy a cooling sensation, as it delivers a burst of icy freshness with every inhale. The 100ml shortfill bottle provides ample liquid for extended use, and the 0mg nicotine content makes it an ideal choice for vapers who prefer a nicotine-free option. Whether you're a fan of fruity flavours or simply enjoy the invigorating sensation of menthol, the Fantasi Ice e-liquid is sure to satisfy your vaping needs.</span><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 2 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">50VG/50PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle and Box</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<strong data-mce-fragment=""1"">Flavours</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Watermelon Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Strawberry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Raspberry Ice</span></li>
<li data-mce-fragment=""1"">Orange Ice<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Mango Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lemonade Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Grape Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Cola Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Cherry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Blue Raspberry Ice </span></li>
</ul>","50/50,shortfill,0mg,fruity,100ml,direct-to-lung,nic_salt,ice",shortfill,"50/50,shortfill,0mg,fruity,100ml,direct-to-lung,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-fantasi-ice-100ml-shortfill-e-liquid-70vg-30pg,0mg Fantasi Ice 100ml Shortfill E-Liquid (70VG/30PG),"<span data-mce-fragment=""1"">Delight your senses with Fantasi Ice 100ml Shortfill E-Liquid 0mg (70VG/30PG), a UK-made e-liquid that offers a crisp, icy vaping experience! With 0mg of nicotine and a 70% vegetable glycerin (VG) and 30% propylene glycol (PG) ratio, you'll enjoy the smoothness and intense flavour in every puff. The 120ml shortfill bottle offers flexibility for vapers; just add two 18mg nicotine shots to reach the desired 3mg strength! From blue raspberry to watermelon, from mango to grape and strawberry, Fantasi Ice has something for everyone - so don't miss out on this exceptional nicotine-free experience!</span><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li data-mce-fragment=""1"">Space for 2 x 18mg Nicotine shots for 3mg</li>
<li data-mce-fragment=""1"">70VG/30PG</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap</li>
<li data-mce-fragment=""1"">Suitable for Sub Ohm Vaping</li>
<li data-mce-fragment=""1"">Recyclable Bottle and Box</li>
<li data-mce-fragment=""1"">TPD compliant</li>
</ul>
<strong data-mce-fragment=""1"">Flavours</strong><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Watermelon Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Strawberry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Raspberry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Peach Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Orange Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Mango Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lemonade Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Grape Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Cola Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Cherry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Blue Raspberry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Blueberry Ice</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Apple ice</span></li>
</ul>","70/30,shortfill,0mg,100ml,direct-to-lung,ice",,"70/30,shortfill,0mg,100ml,direct-to-lung,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
